Gauge Fleet Solutions
Daily Usage Report

Generated on: 05/19/2025 05:02 PM
Report date: 2025-05-16

Daily Usage Data:
Date,Asset,Time Start,Time Stop,Company,Job Site
2025-05-16,F-150 Richard Hernandez (EMP5873),06:54,02:46 PM,Texas Earth Movers,Coppell Industrial
2025-05-16,LT-03 José Nguyen - EMP5048,,,Ragle Inc.,Coppell Industrial
2025-05-16,HT-77 Miguel Taylor - EMP2770,06:44,02:30 PM,Ragle Inc.,Plano East
2025-05-16,RT-64 Sarah Torres (EMP7285),07:17 AM,03:25 PM,Highland Construction,Arlington Central
2025-05-16,ET-88 Robert C. Scott (EMP4932),07:02,03:34 PM,Texas Earth Movers,Coppell Industrial
2025-05-16,HT-29 Laura Martin - EMP1706,,,Texas Earth Movers,Allen Sports Complex
2025-05-16,HT-15 Jorge Baker - EMP2350,07:09,15:25,Select Contracting,Carrollton Bridge
2025-05-16,LT-84 Francisco H. Wright,06:57,14:39,Highland Construction,McKinney Residential
2025-05-16,PT-87 David Nelson (EMP6416),06:53 AM,03:33 PM,Ragle Inc.,Coppell Industrial
2025-05-16,LT-54 Karen Walker,07:05,03:40 PM,Ragle Inc.,Frisco Town Center
2025-05-16,CHEVY SILVERADO Michael Brown,06:37,03:40 PM,Ragle Inc.,Carrollton Bridge
2025-05-16,ET-95 James Johnson,07:10 AM,02:15 PM,Texas Earth Movers,Denton Highway
2025-05-16,PT-82 Jennifer Green,06:52,,Highland Construction,Fort Worth West
2025-05-16,PT-18 Ana Martin - EMP7731,06:52,02:17 PM,Ragle Inc.,Denton Highway
2025-05-16,CHEVY SILVERADO Ana Brown,06:51 AM,15:34,Ragle Inc.,Lewisville Dam
2025-05-16,PT-31 Mary Thomas,07:10 AM,15:24,Ragle Inc.,Southlake Plaza
2025-05-16,FORD F250 Teresa Wright (EMP6442),06:43,14:57,Highland Construction,Fort Worth West
2025-05-16,RT-13 Carlos D. Miller,07:09 AM,15:38,Select Contracting,Allen Sports Complex
2025-05-16,ET-15 William C. Nguyen (EMP3049),06:39,03:29 PM,Select Contracting,Southlake Plaza
2025-05-16,PT-11 Luis R. Torres,05:58,03:26 PM,Ragle Inc.,Allen Sports Complex
2025-05-16,PT-55 James A. Johnson EMP6335,07:03,14:21,Select Contracting,Coppell Industrial
2025-05-16,RAM-2500 Robert King - EMP8056,06:58,02:48 PM,Select Contracting,Southlake Plaza
2025-05-16,LT-10 James U. Allen,07:01 AM,03:25 PM,Ragle Inc.,Plano East
2025-05-16,FORD F250 Laura N. Hernandez,06:56,15:25,Texas Earth Movers,Allen Sports Complex
2025-05-16,GMC SIERRA Jessica Hill,07:13,03:35 PM,Select Contracting,Richardson Office Park
2025-05-16,RAM-2500 Roberto N. Sanchez - EMP3914,07:01 AM,03:37 PM,Texas Earth Movers,Frisco Town Center
2025-05-16,LT-01 Jorge K. Nelson,07:45 AM,15:21,Ragle Inc.,McKinney Residential
2025-05-16,ET-83 Luis Miller EMP4074,07:09,15:22,Select Contracting,Carrollton Bridge
2025-05-16,RAM-2500 David Hill,07:02,15:06,Highland Construction,Coppell Industrial
2025-05-16,RAM-2500 Ana Lewis EMP4995,06:58 AM,02:26 PM,Texas Earth Movers,Coppell Industrial
2025-05-16,RT-19 Sarah Adams (EMP7946),07:01,15:21,Texas Earth Movers,Southlake Plaza
2025-05-16,FORD F250 Richard T. Johnson,07:01 AM,03:27 PM,Ragle Inc.,Grapevine Mall
2025-05-16,GMC SIERRA Antonio S. Green - EMP3051,06:59,14:37,Highland Construction,Dallas North
2025-05-16,ET-54 María Jackson,06:51 AM,02:06 PM,Highland Construction,Coppell Industrial
2025-05-16,F-150 Sofía S. Robinson (EMP4829),06:54 AM,03:27 PM,Select Contracting,Denton Highway
2025-05-16,LT-24 Antonio Rodriguez,06:57,14:57,Select Contracting,Irving South
2025-05-16,CT-10 Sarah S. Johnson,07:04 AM,14:16,Ragle Inc.,Lewisville Dam
2025-05-16,CHEVY SILVERADO Miguel Wright EMP8529,07:08 AM,02:47 PM,Ragle Inc.,Irving South
2025-05-16,ET-17 Jessica O. Davis EMP2614,06:53 AM,03:27 PM,Highland Construction,Denton Highway
2025-05-16,F-150 Richard Davis,06:55,,Select Contracting,Arlington Central
2025-05-16,FORD F250 Richard Davis (EMP2812),07:04 AM,03:29 PM,Ragle Inc.,Fort Worth West
2025-05-16,RT-30 Mary Nguyen,07:09,02:00 PM,Ragle Inc.,Southlake Plaza
2025-05-16,RT-50 María W. Davis EMP5037 / Robert Ramirez,07:03,03:20 PM,Select Contracting,Richardson Office Park
2025-05-16,RAM-2500 María Scott,07:07 AM,15:38,Ragle Inc.,Arlington Central
2025-05-16,CT-79 Robert Jackson - EMP2464,06:57,14:33,Texas Earth Movers,Dallas North
2025-05-16,RT-43 Isabel Wright (EMP4994),06:43,15:37,Ragle Inc.,Lewisville Dam
2025-05-16,CT-69 David Lewis,06:52,15:29,Highland Construction,Richardson Office Park
2025-05-16,RT-53 James Anderson,06:55 AM,03:23 PM,Highland Construction,Fort Worth West
2025-05-16,ET-38 Juan J. Martinez,06:55,15:34,Highland Construction,Plano East
2025-05-16,HT-36 Carmen Moore (EMP3137),07:03 AM,03:24 PM,Texas Earth Movers,Frisco Town Center
2025-05-16,GMC SIERRA John Sanchez,07:24 AM,03:35 PM,Highland Construction,McKinney Residential
2025-05-16,CHEVY SILVERADO Luis Thomas EMP3264,07:08 AM,03:35 PM,Highland Construction,Grapevine Mall
2025-05-16,RT-94 Michael Perez,06:53 AM,15:20,Select Contracting,Allen Sports Complex
2025-05-16,CHEVY SILVERADO James Wright,06:06 AM,15:21,Select Contracting,Dallas North
2025-05-16,HT-41 Robert Z. Scott,06:57,,Select Contracting,Denton Highway
2025-05-16,GMC SIERRA Joseph Baker - EMP1152,07:08,03:26 PM,Highland Construction,McKinney Residential
2025-05-16,PT-77 Mary Jackson,06:56 AM,15:20,Ragle Inc.,Irving South
2025-05-16,LT-69 Charles E. Johnson (EMP6960),07:04,03:40 PM,Texas Earth Movers,Arlington Central
2025-05-16,LT-78 Jennifer W. Johnson,07:16,15:28,Select Contracting,Plano East
2025-05-16,RT-60 Thomas Anderson,,03:26 PM,Highland Construction,Fort Worth West
2025-05-16,PT-73 Elizabeth Brown,06:46 AM,15:13,Select Contracting,Denton Highway
2025-05-16,HT-99 Antonio Scott,,,Ragle Inc.,Plano East
2025-05-16,RT-51 Robert Hernandez - EMP9581,07:00,03:26 PM,Highland Construction,McKinney Residential
2025-05-16,HT-17 Jorge Martin,07:09,15:35,Texas Earth Movers,Lewisville Dam
2025-05-16,CT-29 Jorge King - EMP1320,09:00 AM,03:40 PM,Texas Earth Movers,Plano East
2025-05-16,LT-01 Richard Flores - EMP8574,07:00 AM,,Select Contracting,Allen Sports Complex
2025-05-16,ET-16 Juan Anderson EMP1594,06:50,15:29,Ragle Inc.,Denton Highway
2025-05-16,HT-22 Rosa Adams,06:54 AM,,Texas Earth Movers,Irving South
2025-05-16,PT-56 William K. Ramirez,,,Ragle Inc.,Denton Highway
2025-05-16,LT-02 Carmen Wilson,06:54,03:21 PM,Highland Construction,Arlington Central
2025-05-16,RT-64 Jorge Johnson EMP2753,,,Ragle Inc.,Plano East
